1,,NICOBAR,23.5,9.9,137%,LE,245.5,278.6,-12%,N
2,,NORTH & MIDDLE ANDAMAN,10.55,16.3,-35%,D,715.0,487.5,47%,E
3,,SOUTH ANDAMAN,13.65,13.1,4%,N,598.3,427.0,40%,E
1,,ANJAW,46.1,19.8,133%,LE,195.5,384.6,-49%,D
2,,CHANGLANG,96.0,9.9,870%,LE,458.4,345.3,33%,E
3,,DIBANG VALLEY,,4.9,,*,476.5,398.8,19%,N
4,,EAST KAMENG,18.7,15.8,18%,N,231.8,336.7,-31%,D
5,,EAST SIANG,192.2,33.0,482%,LE,654.0,804.1,-19%,N
6,,KURUNG KUMEY,,9.7,,*,,251.9,,*
7,,LOHIT,90.2,13.7,558%,LE,430.8,438.1,-2%,N
8,,LOWER DIBANG VALLEY,218.6,13.1,1569%,LE,865.6,660.3,31%,E
9,,LOWER SUBANSIRI,22.4,5.3,322%,LE,122.1,176.4,-31%,D
10,,PAPUMPARA,30.6,17.2,78%,LE,445.2,655.8,-32%,D
11,,TAWANG,21.2,10.0,112%,LE,155.0,204.7,-24%,D
12,,TIRAP,,18.2,,*,489.1,520.6,-6%,N
13,,UPPER SIANG,23.5,18.2,29%,E,346.2,510.7,-32%,D
14,,UPPER SUBANSIRI,,9.4,,*,532.8,276.9,92%,LE
15,,WEST KAMENG,19.5,19.3,1%,N,197.7,452.4,-56%,D
16,,WEST SIANG,61.3,15.9,285%,LE,469.3,502.1,-7%,N
1,,BAKSA,19.7,13.1,51%,E,715.2,497.4,44%,E
2,,BARPETA,37.6,19.7,91%,LE,951.0,663.8,43%,E
3,,BONGAIGAON,18.7,20.7,-10%,N,716.1,746.4,-4%,N
4,,CACHAR,13.2,13.4,-1%,N,495.1,523.1,-5%,N
5,,CHIRANG,49.2,17.5,181%,LE,637.0,669.6,-5%,N
6,,DARRANG,9.4,13.0,-27%,D,263.3,426.0,-38%,D
7,,DHEMAJI,65.5,12.5,424%,LE,623.2,531.8,17%,N
8,,DHUBRI,4.5,19.5,-77%,LD,1037.5,659.9,57%,E
9,,DIBRUGARH,37.2,13.8,170%,LE,462.0,372.7,24%,E
10,,DIMA HASAO,2.6,8.3,-69%,LD,325.0,338.1,-4%,N
11,,GOALPARA,9.7,23.4,-59%,D,556.8,595.8,-7%,N
12,,GOLAGHAT,8.8,5.9,48%,E,248.8,258.4,-4%,N
13,,HAILAKANDI,42.7,9.9,331%,LE,643.1,448.2,43%,E
14,,JORHAT,21.6,6.7,223%,LE,362.6,295.7,23%,E
15,,KAMRUP (RURAL),20.9,12.2,71%,LE,326.3,387.4,-16%,N
16,,KAMRUP METRO.,12.8,11.1,15%,N,347.1,306.0,13%,N
17,,KARBI ANGLONG,1.1,5.3,-80%,LD,166.9,210.0,-21%,D
18,,KARIMGANJ,23.1,14.0,65%,LE,724.9,645.1,12%,N
19,,KOKRAJHAR,15.3,30.1,-49%,D,1043.6,784.0,33%,E
20,,LAKHIMPUR,57.2,17.8,221%,LE,499.6,524.1,-5%,N
21,,MORIGAON,8.0,9.2,-13%,N,255.3,287.8,-11%,N
22,,NAGAON,1.5,10.0,-85%,LD,187.4,261.5,-28%,D
23,,NALBARI,13.5,11.9,13%,N,818.0,483.8,69%,LE
24,,SHONITPUR,28.6,12.1,137%,LE,332.1,315.2,5%,N
25,,SIBSAGAR,10.1,11.3,-11%,N,296.3,287.3,3%,N
26,,TINSUKIA,92.5,8.7,963%,LE,514.6,368.7,40%,E
27,,UDALGURI,37.6,16.2,132%,LE,435.9,450.2,-3%,N
1,,EAST GARO HILLS,38.0,19.8,92%,LE,1362.4,571.3,138%,LE
2,,EAST JAINTIA HILLS,70.0,49.1,43%,E,832.0,1191.4,-30%,D
3,,EAST KHASI HILLS,135.4,56.8,138%,LE,1968.5,1298.2,52%,E
4,,NORTH GARO HILLS,,10.4,,*,594.4,482.2,23%,E
5,,RI-BHOI,24.0,17.0,41%,E,441.6,370.7,19%,N
6,,SOUTH GARO HILLS,,10.4,,*,488.7,482.2,1%,N
7,,SOUTH WEST GARO HILLS,10.0,10.4,-4%,N,335.0,482.2,-31%,D
8,,SOUTH WEST KHASI HILLS,213.0,10.4,1948%,LE,1818.3,482.2,277%,LE
9,,WEST GARO HILLS,1.0,15.1,-93%,LD,789.8,546.5,45%,E
10,,WEST JAINTIA HILLS,,49.1,,*,669.3,1191.4,-44%,D
11,,WEST KHASI HILLS,,16.9,,*,668.0,642.7,4%,N
1,,DIMAPUR,0.8,5.0,-85%,LD,104.5,203.0,-49%,D
2,,KIPHIRE,0.6,4.4,-86%,LD,228.3,139.9,63%,LE
3,,KOHIMA,0.0,12.4,-100%,NR,180.8,288.6,-37%,D
4,,LONGLENG,,7.6,,*,248.0,276.5,-10%,N
5,,MOKOKCHUNG,5.4,11.0,-51%,D,276.8,339.8,-19%,N
6,,MON,,8.8,,*,310.9,294.4,6%,N
7,,PAREN,0.0,7.4,-100%,NR,158.1,237.9,-34%,D
8,,PHEK,4.8,10.3,-53%,D,175.0,197.8,-12%,N
9,,TUENSANG,,7.6,,*,93.9,276.5,-66%,LD
10,,WOKHA,,9.9,,*,154.4,299.2,-48%,D
11,,ZUNHEBOTO,16.1,13.5,19%,N,275.6,300.8,-8%,N
1,,BISHNUPUR,0.0,8.4,-100%,NR,116.9,331.3,-65%,LD
2,,CHANDEL,0.6,8.4,-93%,LD,128.2,331.3,-61%,LD
3,,CHURACHANDPUR,0.0,8.4,-100%,NR,13.8,331.3,-96%,LD
4,,IMPHAL EAST,0.0,5.1,-100%,NR,237.5,205.3,16%,N
5,,IMPHAL WEST,0.0,15.2,-100%,NR,239.2,463.8,-48%,D
6,,SENAPATI,,9.6,,*,,209.8,,*
7,,TAMENGLONG,20.4,100.8,-80%,LD,365.8,1317.1,-72%,LD
8,,THOUBAL,,5.1,,*,,205.3,,*
9,,UKHRUL,6.9,4.8,44%,E,166.5,297.3,-44%,D
1,,AIZWAL,1.5,12.6,-88%,LD,358.3,404.4,-11%,N
2,,CHAMPHAI,0.9,10.2,-92%,LD,64.0,334.5,-81%,LD
4,,KOLASIB,0.6,12.9,-95%,LD,482.1,424.7,14%,N
5,,LAWNGTLAI,10.6,10.9,-3%,N,254.6,465.5,-45%,D
6,,LUNGLEI,1.5,15.7,-90%,LD,296.6,453.5,-35%,D
7,,MAMIT,0.0,13.7,-100%,NR,234.1,421.8,-44%,D
8,,SAIHA,4.9,15.5,-68%,LD,298.3,496.0,-40%,D
9,,SERCHHIP,2.4,16.3,-85%,LD,202.1,425.6,-53%,D
1,,DHALAI,12.7,10.9,16%,N,465.0,425.0,9%,N
2,,GOMATI,14.8,17.0,-13%,N,331.6,406.6,-18%,N
3,,KHOWAI,10.9,12.8,-15%,N,547.9,433.2,26%,E
4,,NORTH TRIPURA,7.9,12.2,-35%,D,645.7,426.1,52%,E
5,,SIPAHIJALA,13.4,11.8,13%,N,159.2,392.2,-59%,D
6,,SOUTH TRIPURA,46.3,18.6,149%,LE,364.2,484.6,-25%,D
7,,UNAKOTI,3.6,9.1,-60%,LD,723.3,461.1,57%,E
8,,WEST TRIPURA,4.1,10.2,-60%,LD,433.4,370.7,17%,N
1,,GANGTOK,14.6,22.0,-33%,D,684.4,597.7,15%,N
2,,GYALSHING,21.1,26.4,-20%,D,590.3,395.1,49%,E
3,,MANGAN,15.1,16.9,-11%,N,808.2,424.8,90%,LE
4,,NAMCHI,14.1,22.5,-37%,D,645.3,382.3,69%,LE
5,,PAKYONG,27.1,19.5,39%,E,508.5,379.8,34%,E
6,,SORENG,75.5,26.4,186%,LE,533.0,395.1,35%,E
1,,ALIPURDUAR,30.8,23.8,29%,E,1399.9,749.6,87%,LE
2,,COOCH BEHAR,21.0,20.9,0%,N,1271.7,566.4,125%,LE
3,,DARJEELING,98.5,36.9,167%,LE,936.5,643.1,46%,E
4,,JALPAIGURI,77.1,30.1,156%,LE,1073.2,729.6,47%,E
5,,KALIMPONG,58.5,30.7,90%,LE,768.9,544.7,41%,E
6,,MALDA,12.6,9.4,34%,E,54.2,234.4,-77%,LD
7,,NORTH DINAJPUR,0.0,13.7,-100%,NR,141.2,339.6,-58%,D
8,,SOUTH DINAJPUR,0.0,15.6,-100%,NR,175.1,251.6,-30%,D
1,,BANKURA,16.3,12.3,32%,E,76.8,252.7,-70%,LD
2,,BIRBHUM,7.1,8.7,-18%,N,57.3,224.0,-74%,LD
3,,EAST MIDNAPORE,17.1,8.8,94%,LE,117.9,275.0,-57%,D
4,,HOOGHLY,40.5,13.5,200%,LE,90.2,239.6,-62%,LD
5,,HOWRAH,41.8,7.2,481%,LE,99.2,226.9,-56%,D
6,,JHARGRAM,0.5,10.4,-96%,LD,91.7,250.6,-63%,LD
7,,KOLKATA,17.6,10.5,68%,LE,143.2,282.9,-49%,D
8,,MURSHIDABAD,7.3,9.4,-22%,D,32.9,218.1,-85%,LD
9,,NADIA,6.2,5.8,6%,N,54.9,211.5,-74%,LD
10,,NORTH 24 PARGANAS,18.1,10.0,81%,LE,89.7,252.5,-64%,LD
